id	hash	cluster
161	11644323487553820442	-1
163	5725674789154593171	-1
164	17368061090122573121	-1
165	10634489296772443530	-1
166	11919752359436627360	-1
167	13178029327450459073	-1
168	10774546182605900234	-1
169	4263212731599504869	-1
171	10707844859585732405	-1
172	17287694753492281404	-1
173	5167151269524726681	-1
174	3470483459651246981	-1
175	5756912480017895582	-1
176	8192186210211074701	-1
177	4678637225153842348	-1
178	737153839375450534	-1
179	17259342637797402670	-1
180	2962694025745045638	-1
181	321559728051218618	-1
182	7529074496312687683	-1
183	14378204638124998576	-1
184	8206938328517683159	-1
186	8493189697348872121	-1
189	7857222190755171532	-1
190	2859622919308057924	-1
191	1420520571102564295	-1
192	13065260395065278481	-1
193	5130786951920115233	-1
194	4982370605335150355	-1
197	16164719045597436926	-1
198	12288150382865557071	-1
199	9255661446606747026	-1
202	17543598799056009599	-1
204	1272515057576313751	-1
206	13743433345096419033	-1
207	1988562875848899166	-1
208	2958487336914289288	-1
210	9328638340368388390	-1
211	13265550320824981995	-1
212	6390990125558020647	-1
213	10788010924485418469	-1
215	2850685705630784371	-1
216	398114066117428493	-1
217	13395296724137841092	-1
218	413675707383758417	-1
221	4590770646013997655	-1
222	5744223612344712129	-1
223	2291078229655302675	-1
224	12393822500879145598	-1
227	6049701648349632792	-1
228	13032212741835220752	-1
232	13331977099110684546	-1
233	11336175730213846077	-1
234	9717465807076002576	-1
235	13397005712195368183	-1
236	6139573091952269659	-1
237	5446354031078837718	-1
238	11630688492303860662	-1
239	8349539155386004727	-1
240	229995614283881409	-1
241	9301945318780950745	-1
242	15662595236625678752	-1
243	1003880495060138332	-1
244	5246034055306231294	-1
246	10807611005483818938	-1
247	7737106385949750564	-1
248	5714200173779788112	-1
250	794263570197031150	-1
251	10654402547530656024	-1
252	16288503782505328310	-1
253	2385208725198181282	-1
255	5058503115493855926	-1
258	1151839051561454279	-1
259	16771233968753124865	-1
260	512623936218867071	-1
265	6630118886671584025	-1
266	6870236284188437812	-1
267	12694516120660858256	-1
268	16635159185888379188	-1
270	4725311361447461235	-1
272	905691826362482516	-1
273	944219296889654548	-1
274	11387046043493927455	-1
275	1223868484061862488	-1
276	7408438585945916353	-1
277	12505466845097244536	-1
278	3558035895406332691	-1
279	7429355464862633518	-1
280	4647373383958950260	-1
282	1832039642818034590	-1
283	11598651773525064118	-1
285	9732157637926910819	-1
286	6615464886031636518	-1
288	5963155962353743783	-1
290	5931242013903544043	-1
291	1429999138351679668	-1
292	11898147510316094618	-1
293	17553626842603455971	-1
295	8361586827184114587	-1
296	5645157264829134972	-1
297	14560306163140277155	-1
298	1254907554079298106	-1
300	10198451700045730775	-1
301	2241577820611708963	-1
302	4635828993284380608	-1
305	17311798256570669378	-1
306	15353041770265762065	-1
307	9716978314714168989	-1
308	5629384758195235764	-1
310	6773352995767670879	-1
311	156700103700386692	-1
313	11927993801083080874	-1
315	4608522563609180944	-1
316	9591378124268486233	-1
317	9737672561976466481	-1
318	1650350187437456255	-1
319	10919166184367362078	-1
321	16228916908682800097	-1
322	15357630456220143052	-1
323	1083717894341821256	-1
325	12236388530915122178	-1
326	14547409142144715737	-1
327	17410251390275920335	-1
328	15385046969918448	-1
329	8586594801014314798	-1
330	2568944068092375998	-1
331	4843020846821717919	-1
335	8310125090402319317	-1
336	4144033694935192081	-1
337	100137845199245539	-1
338	4887644792222232314	-1
339	1244890536299221405	-1
341	12380313632148422124	-1
342	15821920129098843075	-1
344	183219623699972434	-1
346	9930639169971655644	-1
348	12186218451825345478	-1
349	6166487864933390474	-1
353	12981811454626009970	-1
354	5897662594581879019	-1
355	6209556322979925370	-1
